Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
Lenovo,Miix 320,https://i.gadgets360cdn.com/products/laptops/large/1546454287_635_lenovo_miix-320.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.28,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-ay542tu,https://i.gadgets360cdn.com/products/laptops/large/1525206317_635_15-ay542tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.51,,,,,,,,,,,,,,,,,,,,,,,3
HP,14q-CS0005TU,https://i.gadgets360cdn.com/products/laptops/large/1546457019_635_hp_14q-cs0005tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.66,,,,,,,,,,,,,,,,,,,,,,,4
HP,15-BU034TU,https://i.gadgets360cdn.com/products/laptops/large/1546456638_635_hp_15-bu034tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.66,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire ES 15 ES1-572-33M8,https://i.gadgets360cdn.com/products/laptops/large/1525205902_635_aspire-es-15-es1-572-33m8.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.74,,,,,,,,,,,,,,,,,,,,,,,5
Acer,Aspire E E15-E5-573G-387K,https://i.gadgets360cdn.com/products/laptops/large/1546455882_635_acer_aspire-e-e15-e5-573g-387k.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.74,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire E E15-E5-573G-387K,https://i.gadgets360cdn.com/products/laptops/large/1546455882_635_acer_aspire-e-e15-e5-573g-387k.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.74,,,,,,,,,,,,,,,,,,,,,,,1
HP,240 G1,https://i.gadgets360cdn.com/products/laptops/large/1546455470_635_hp_240-g1.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.74,,,,,,,,,,,,,,,,,,,,,,,2
Lenovo,G40 45,https://i.gadgets360cdn.com/products/laptops/large/1525206429_635_g40-45.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.75,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,IdeaPad 330-15IGM,https://i.gadgets360cdn.com/products/laptops/large/1546456551_635_lenovo_ideapad-330-15igm.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.75,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,V130-15IKB,https://i.gadgets360cdn.com/products/laptops/large/1546456571_635_lenovo_v130-15ikb.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,270.75,,,,,,,,,,,,,,,,,,,,,,,1
Dell,Inspiron 3567,https://i.gadgets360cdn.com/products/laptops/large/1546452955_635_dell_inspiron-3567.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,271.61,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-ac122tu,https://i.gadgets360cdn.com/products/laptops/large/1525204332_635_15-ac122tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,271.69,,,,,,,,,,,,,,,,,,,,,,,4
Dell,Inspiron 3000 3567,https://i.gadgets360cdn.com/products/laptops/large/1546454149_635_dell_inspiron-3000-3567.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,272.56,,,,,,,,,,,,,,,,,,,,,,,4
Lenovo,IdeaPad 120S,https://i.gadgets360cdn.com/products/laptops/large/1546456007_635_lenovo_ideapad-120s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,272.56,,,,,,,,,,,,,,,,,,,,,,,5
HP,250 G5-1AS39PA,https://i.gadgets360cdn.com/products/laptops/large/1546453002_635_hp_250-g5-1as39pa.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,273.60,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E E-E5-573G,https://i.gadgets360cdn.com/products/laptops/large/1525203887_635_aspire-e-e-e5-573g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,274.46,,,,,,,,,,,,,,,,,,,,,,,1
HP,15Q-DY0004AU,https://i.gadgets360cdn.com/products/laptops/large/1546456018_635_hp_15q-dy0004au.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,274.46,,,,,,,,,,,,,,,,,,,,,,,3
Dell,Inspiron 15 3000,https://i.gadgets360cdn.com/products/laptops/large/1546456024_635_dell_inspiron-15-3000.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,274.55,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire ES ES1-572-36YW,https://i.gadgets360cdn.com/products/laptops/large/1525205901_635_aspire-es-es1-572-36yw.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.03,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire 5 A515-51,https://i.gadgets360cdn.com/products/laptops/large/1546456264_635_acer_aspire-5-a515-51.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire 5 A515-51,https://i.gadgets360cdn.com/products/laptops/large/1546456264_635_acer_aspire-5-a515-51.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire (A315-53-317G),https://i.gadgets360cdn.com/products/large/1555399506_635_Acer_aspire_3_ndtv.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E E5-575-383C,https://i.gadgets360cdn.com/products/laptops/large/1546455811_635_acer_aspire-e-e5-575-383c.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire E E5-575-383C,https://i.gadgets360cdn.com/products/laptops/large/1546455811_635_acer_aspire-e-e5-575-383c.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,2
Acer,Aspire R 11 R3 131T-P71C,https://i.gadgets360cdn.com/products/laptops/large/1546455312_635_acer_aspire-r-11-r3-131t-p71c.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire R 11 R3 131T-P71C,https://i.gadgets360cdn.com/products/laptops/large/1546455312_635_acer_aspire-r-11-r3-131t-p71c.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,5
Asus,A555LF-XX211D,https://i.gadgets360cdn.com/products/laptops/large/1525201924_635_a555lf-xx211d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
Asus,A555LA-XX1909D,https://i.gadgets360cdn.com/products/laptops/large/1525201934_635_a555la-xx1909d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Asus,R542BP-GQ058T,https://i.gadgets360cdn.com/products/laptops/large/1546453737_635_asus_r542bp-gq058t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,2
Asus,R542BP-GQ058T,https://i.gadgets360cdn.com/products/laptops/large/1546453737_635_asus_r542bp-gq058t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Asus,A555LA-XX2067T,https://i.gadgets360cdn.com/products/laptops/large/1546453041_635_asus_a555la-xx2067t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
Asus,A555LA-XX2067T,https://i.gadgets360cdn.com/products/laptops/large/1546453041_635_asus_a555la-xx2067t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Dell,Vostro 3000 3560,https://i.gadgets360cdn.com/products/laptops/large/1525204200_635_vastro-3000-3560.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
Dell,Vostro 3468,https://i.gadgets360cdn.com/products/laptops/large/1546453861_635_dell_vostro-3468.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
HP,Imprint 14-ar003tu,https://i.gadgets360cdn.com/products/laptops/large/1525206088_635_imprint-14-ar003tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-be011tu,https://i.gadgets360cdn.com/products/laptops/large/1525206328_635_15-be011tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,5
HP,15Q-BU021TU,https://i.gadgets360cdn.com/products/laptops/large/1546454356_635_hp_15q-bu021tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
HP,15Q-BW084AX,https://i.gadgets360cdn.com/products/laptops/large/1546454467_635_hp_15q-bw084ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-BS663TU,https://i.gadgets360cdn.com/products/laptops/large/1546456048_635_hp_15-bs663tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,3
HP,15Q-BU037TU,https://i.gadgets360cdn.com/products/laptops/large/1546455970_635_hp_15q-bu037tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.41,,,,,,,,,,,,,,,,,,,,,,,4
Asus,VivoBook F450CA-WX287P,https://i.gadgets360cdn.com/products/laptops/large/1525200113_635_vivobook-f450ca-wx287p.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.49,,,,,,,,,,,,,,,,,,,,,,,3
Asus,A540LJ-DM667D,https://i.gadgets360cdn.com/products/laptops/large/1525204139_635_a540lj-dm667d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.49,,,,,,,,,,,,,,,,,,,,,,,2
HP,15Q-BU013TU,https://i.gadgets360cdn.com/products/laptops/large/1546454718_635_hp_15q-bu013tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.49,,,,,,,,,,,,,,,,,,,,,,,5
Acer,Aspire E E5-551-T49Z,https://i.gadgets360cdn.com/products/laptops/large/1546454186_635_acer_aspire-e-e5-551-t49z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.50,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Swift 3 SF315-41-R6J9,https://i.gadgets360cdn.com/products/laptops/large/1546454440_635_acer_swift-3-sf315-41-r6j9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.50,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Swift 3 SF315-41-R6J9,https://i.gadgets360cdn.com/products/laptops/large/1546454440_635_acer_swift-3-sf315-41-r6j9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.50,,,,,,,,,,,,,,,,,,,,,,,4
Asus,A555LA-XX2384T,https://i.gadgets360cdn.com/products/laptops/large/1525203932_635_a555la-xx2384t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,275.50,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,IdeaPad 14,https://i.gadgets360cdn.com/products/laptops/large/1546456071_635_lenovo_ideapad-14.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,276.71,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire E ES-ES1-571-558Z,https://i.gadgets360cdn.com/products/laptops/large/1546455328_635_acer_aspire-e-es-es1-571-558z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.40,,,,,,,,,,,,,,,,,,,,,,,5
Acer,Aspire E ES-ES1-571-558Z,https://i.gadgets360cdn.com/products/laptops/large/1546455328_635_acer_aspire-e-es-es1-571-558z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.40,,,,,,,,,,,,,,,,,,,,,,,3
Acer,One 378D,https://i.gadgets360cdn.com/products/laptops/large/1546455481_635_acer_one-378d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.40,,,,,,,,,,,,,,,,,,,,,,,4
Dell,Inspiron 15 3542,https://i.gadgets360cdn.com/products/laptops/large/1525202043_635_inspiron-15-3542.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.40,,,,,,,,,,,,,,,,,,,,,,,3
Dell,Inspiron 14 3000 3467,https://i.gadgets360cdn.com/products/laptops/large/1546455875_635_dell_inspiron-14-3000-3467.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.48,,,,,,,,,,,,,,,,,,,,,,,1
Asus,X540-X540LA-XX440D,https://i.gadgets360cdn.com/products/laptops/large/1546455531_635_asus_x540-x540la-xx440d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.88,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X540-X540LA-XX440D,https://i.gadgets360cdn.com/products/laptops/large/1546455531_635_asus_x540-x540la-xx440d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,277.88,,,,,,,,,,,,,,,,,,,,,,,4
Asus,X540LA-XX440D,https://i.gadgets360cdn.com/products/laptops/large/1525204170_635_x540la-xx440d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,278.07,,,,,,,,,,,,,,,,,,,,,,,4
HP,Pavilion 15q-bu006tu,https://i.gadgets360cdn.com/products/laptops/large/1525206198_635_pavilion-15q-bu006tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,278.32,,,,,,,,,,,,,,,,,,,,,,,4
HP,Imprint 15-BS541TU,https://i.gadgets360cdn.com/products/laptops/large/1546454646_635_hp_imprint-15-bs541tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,278.32,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X541UA-DM846T,https://i.gadgets360cdn.com/products/laptops/large/1546453759_635_asus_x541ua-dm846t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,278.95,,,,,,,,,,,,,,,,,,,,,,,
HP,15-BS662TU,https://i.gadgets360cdn.com/products/laptops/large/1546455617_635_hp_15-bs662tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.22,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E 15 E5-553-T4PT,https://i.gadgets360cdn.com/products/laptops/large/1525207604_635_aspire-e-15-e5-553-t4pt.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.24,,,,,,,,,,,,,,,,,,,,,,,2
Acer,Aspire E E5-573-587Q,https://i.gadgets360cdn.com/products/laptops/large/1546455472_635_acer_aspire-e-e5-573-587q.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.24,,,,,,,,,,,,,,,,,,,,,,,4
Asus,A555LF-XX232D-A555L,https://i.gadgets360cdn.com/products/laptops/large/1525201927_635_a555lf-xx232d-a555l.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.25,,,,,,,,,,,,,,,,,,,,,,,3
Asus,A555LA-XX1756T,https://i.gadgets360cdn.com/products/laptops/large/1525201931_635_a555la-xx1756t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.25,,,,,,,,,,,,,,,,,,,,,,,4
HP,15-DA0295TU,https://i.gadgets360cdn.com/products/laptops/large/1546456647_635_hp_15-da0295tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.25,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,E40 80,https://i.gadgets360cdn.com/products/laptops/large/1525204429_635_e40-80.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.72,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X550CC-XX922D,https://i.gadgets360cdn.com/products/laptops/large/1525200116_635_x550cc-xx922d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,280.73,,,,,,,,,,,,,,,,,,,,,,,4
Lenovo,IdeaPad 310-15ISK,https://i.gadgets360cdn.com/products/laptops/large/1546456052_635_lenovo_ideapad-310-15isk.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,281.11,,,,,,,,,,,,,,,,,,,,,,,3
Asus,A555LF-XX150D,https://i.gadgets360cdn.com/products/laptops/large/1525201918_635_a555lf-xx150d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,281.67,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E E5-476,https://i.gadgets360cdn.com/products/laptops/large/1546456222_635_acer_aspire-e-e5-476.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,281.68,,,,,,,,,,,,,,,,,,,,,,,6
HP,Pavilion G6-2302AX,https://i.gadgets360cdn.com/products/laptops/large/1546455461_635_hp_pavilion-g6-2302ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,282.45,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,IdeaPad 330-14IKB,https://i.gadgets360cdn.com/products/laptops/large/1546456632_635_lenovo_ideapad-330-14ikb.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,283.09,,,,,,,,,,,,,,,,,,,,,,,4
HP,11-1101US,https://i.gadgets360cdn.com/products/laptops/large/1546453714_635_hp_11-1101us.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,283.37,,,,,,,,,,,,,,,,,,,,,,,5
Acer,Aspire E E5-573-30L7,https://i.gadgets360cdn.com/products/laptops/large/1525203889_635_aspire-e-e5-573-30l7.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,283.96,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-BE020TU,https://i.gadgets360cdn.com/products/laptops/large/1546453588_635_hp_15-be020tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,283.96,,,,,,,,,,,,,,,,,,,,,,,3
Dell,Inspiron I3565-A659,https://i.gadgets360cdn.com/products/laptops/large/1546454203_635_dell_inspiron-i3565-a659.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.05,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire A315-51z,https://i.gadgets360cdn.com/products/laptops/large/1546456039_635_acer_aspire-a315-51z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,5
Acer,Aspire A315-51z,https://i.gadgets360cdn.com/products/laptops/large/1546456039_635_acer_aspire-a315-51z.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire 5 A515-51G,https://i.gadgets360cdn.com/products/laptops/large/1546456261_635_acer_aspire-5-a515-51g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
Acer,Aspire 5 A515-51G,https://i.gadgets360cdn.com/products/laptops/large/1546456261_635_acer_aspire-5-a515-51g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Spin SP111-31-P6AP,https://i.gadgets360cdn.com/products/laptops/large/1546453720_635_acer_spin-sp111-31-p6ap.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Spin SP111-31-P6AP,https://i.gadgets360cdn.com/products/laptops/large/1546453720_635_acer_spin-sp111-31-p6ap.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E E5-575-30P5,https://i.gadgets360cdn.com/products/laptops/large/1546454371_635_acer_aspire-e-e5-575-30p5.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Swift 3 SF314-52,https://i.gadgets360cdn.com/products/laptops/large/1546454490_635_acer_swift-3-sf314-52.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,2
Acer,Swift 3 SF314-52,https://i.gadgets360cdn.com/products/laptops/large/1546454490_635_acer_swift-3-sf314-52.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
Asus,A555LF-XX262T,https://i.gadgets360cdn.com/products/laptops/large/1525203922_635_a555lf-xx262t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X550LAV-XX771D,https://i.gadgets360cdn.com/products/laptops/large/1525201999_635_x550lav-xx771d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,2
Asus,X540UA-GQ284T,https://i.gadgets360cdn.com/products/laptops/large/1546453832_635_asus_x540ua-gq284t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,2
Asus,X540UA-GQ284T,https://i.gadgets360cdn.com/products/laptops/large/1546453832_635_asus_x540ua-gq284t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,2
Asus,VivoBook X507UA-EJ180T,https://i.gadgets360cdn.com/products/laptops/large/1546454518_635_asus_vivobook-x507ua-ej180t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
Asus,VivoBook X507UA-EJ180T,https://i.gadgets360cdn.com/products/laptops/large/1546454518_635_asus_vivobook-x507ua-ej180t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X550LC-XX325D,https://i.gadgets360cdn.com/products/laptops/large/1546454372_635_asus_x550lc-xx325d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
Asus,X550LC-XX325D,https://i.gadgets360cdn.com/products/laptops/large/1546454372_635_asus_x550lc-xx325d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
Dell,Inspiron 5559,https://i.gadgets360cdn.com/products/laptops/large/1525206065_635_inspiron-5559.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
Dell,Inspiron 11 3168,https://i.gadgets360cdn.com/products/laptops/large/1525202039_635_inspiron-11-3168.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,2
HP,14-am020tu,https://i.gadgets360cdn.com/products/laptops/large/1525204309_635_14-am020tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-BW084AX,https://i.gadgets360cdn.com/products/laptops/large/1546454126_635_hp_15-bw084ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-BS579TX,https://i.gadgets360cdn.com/products/laptops/large/1546454484_635_hp_15-bs579tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,2
HP,14-BS701TU,https://i.gadgets360cdn.com/products/laptops/large/1546453704_635_hp_14-bs701tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
HP,15-BA022AX,https://i.gadgets360cdn.com/products/laptops/large/1546455545_635_hp_15-ba022ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,4
HP,Pavilion X360 11-U052TU,https://i.gadgets360cdn.com/products/laptops/large/1546453014_635_hp_pavilion-x360-11-u052tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
Lenovo,ThinkPad E450,https://i.gadgets360cdn.com/products/laptops/large/1546453097_635_lenovo_thinkpad-e450.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.91,,,,,,,,,,,,,,,,,,,,,,,3
HP,Pavilion 15-ab108ax,https://i.gadgets360cdn.com/products/laptops/large/1525206202_635_pavilion-15-ab108ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.97,,,,,,,,,,,,,,,,,,,,,,,3
HP,14-ar005tu,https://i.gadgets360cdn.com/products/laptops/large/1525206093_635_14-ar005tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.97,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-BS637TU,https://i.gadgets360cdn.com/products/laptops/large/1546453563_635_hp_15-bs637tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.97,,,,,,,,,,,,,,,,,,,,,,,3
Acer,Aspire E E5-576,https://i.gadgets360cdn.com/products/laptops/large/1546456794_635_acer_aspire-e-e5-576.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,
Acer,Aspire E E5-576,https://i.gadgets360cdn.com/products/laptops/large/1546456794_635_acer_aspire-e-e5-576.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,3
Asus,A555LA-XX1560T,https://i.gadgets360cdn.com/products/laptops/large/1525201894_635_a555la-xx1560t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,4
Asus,X541NA-GO017,https://i.gadgets360cdn.com/products/laptops/large/1546454878_635_asus_x541na-go017.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,4
Asus,X541NA-GO017,https://i.gadgets360cdn.com/products/laptops/large/1546454878_635_asus_x541na-go017.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,2
Asus,X X550CA-XX703D,https://i.gadgets360cdn.com/products/laptops/large/1546455467_635_asus_x-x550ca-xx703d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,4
HP,15-ba017ax,https://i.gadgets360cdn.com/products/laptops/large/1525200134_635_15-ba017ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,4
HP,15Q-BU008TX,https://i.gadgets360cdn.com/products/laptops/large/1546453558_635_hp_15q-bu008tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,3
HP,15-BS658TU,https://i.gadgets360cdn.com/products/laptops/large/1546455979_635_hp_15-bs658tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,284.99,,,,,,,,,,,,,,,,,,,,,,,4
Dell,Vostro 2520,https://i.gadgets360cdn.com/products/laptops/large/1525200129_635_vostro-2520.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,285.00,,,,,,,,,,,,,,,,,,,,,,,4
HP,14-ac171tu,https://i.gadgets360cdn.com/products/laptops/large/1525204260_635_14-ac171tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,285.24,,,,,,,,,,,,,,,,,,,,,,,3
Asus,X553MA-XX063D,https://i.gadgets360cdn.com/products/laptops/large/1546455515_635_asus_x553ma-xx063d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,286.24,,,,,,,,,,,,,,,,,,,,,,,5
