Brand,Model,picture,Price,,,,,,,,,,,,,,,,,,,,,,,
iBall,CompBook Marvel 6,https://i.gadgets360cdn.com/products/laptops/large/1546453784_635_iball_compbook-marvel-6.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,108.78,,,,,,,,,,,,,,,,,,,,,,,2
iBall,CompBook Marvel 6,https://i.gadgets360cdn.com/products/laptops/large/1546453784_635_iball_compbook-marvel-6.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,108.78,,,,,,,,,,,,,,,,,,,,,,,2
iLife,Zed Air,https://i.gadgets360cdn.com/products/laptops/large/1546455310_635_ilife_zed-air.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,109.16,,,,,,,,,,,,,,,,,,,,,,,3
iLife,Zed Air,https://i.gadgets360cdn.com/products/laptops/large/1546455310_635_ilife_zed-air.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,109.16,,,,,,,,,,,,,,,,,,,,,,,3
RDP,ThinBook 1430,https://i.gadgets360cdn.com/products/laptops/large/1546452952_635_rdp_thinbook-1430.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,112.01,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook MERIT-G9,https://i.gadgets360cdn.com/products/laptops/large/1546453892_635_iball_compbook-merit-g9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,113.04,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook MERIT-G9,https://i.gadgets360cdn.com/products/laptops/large/1546453892_635_iball_compbook-merit-g9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,113.04,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook M500,https://i.gadgets360cdn.com/products/laptops/large/1546455865_635_iball_compbook-m500.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,113.91,,,,,,,,,,,,,,,,,,,,,,,3
iBall,CompBook M500,https://i.gadgets360cdn.com/products/laptops/large/1546455865_635_iball_compbook-m500.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,113.91,,,,,,,,,,,,,,,,,,,,,,,3
RDP,ThinBook 1430-ECL,https://i.gadgets360cdn.com/products/laptops/large/1546453723_635_rdp_thinbook-1430-ecl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,113.99,,,,,,,,,,,,,,,,,,,,,,,3
